_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
qsrDTXBqeYn69XXQy,Bob,2019-11-08T15:35:11Z,,,,2019-11-11T21:59:35Z,finished,,,2019-11-08T15:35:11Z,republican,republican.png,zvpASwsaCZ5PDaJen,"58,58,58,58,58",2019-11-11T21:58:35.255Z,58.0,2019-11-11T21:59:00.445Z,58.0,2019-11-11T21:59:08.355Z,58.0,2019-11-11T21:59:25.292Z,58.0,2019-11-11T21:59:33.289Z,58.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
mZyhL4ddAXXGWvpSc,Bob,2019-11-08T15:35:11Z,,,,2019-11-09T00:27:17Z,finished,,,2019-11-08T15:35:11Z,republican,republican.png,9MEwgz3myZoSRyeoZ,"92,92,92,92,92",2019-11-09T00:26:37.394Z,92.0,2019-11-09T00:26:44.992Z,92.0,2019-11-09T00:26:53.799Z,92.0,2019-11-09T00:27:00.900Z,92.0,2019-11-09T00:27:15.897Z,92.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
J366Y9Aq9aLxy4kzq,Bob,2019-11-08T15:35:11Z,,,,2019-11-15T19:12:06Z,finished,,,2019-11-08T15:35:11Z,republican,republican.png,WQFNfP2RMBbsmSmZG,"81,77,71,67,62",2019-11-15T19:11:27.843Z,81.0,2019-11-15T19:11:46.314Z,77.0,2019-11-15T19:11:55.139Z,71.0,2019-11-15T19:12:00.499Z,67.0,2019-11-15T19:12:06.141Z,62.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
7va3iaHx2sbTJkR5R,Bob,2019-11-08T15:35:11Z,,,,2019-11-11T21:00:22Z,finished,,,2019-11-08T15:35:11Z,republican,republican.png,3uzbuQLdhtSg6PXYp,"47,47,47,47,47",,47.0,,47.0,2019-11-11T20:59:26.883Z,47.0,2019-11-11T20:59:51.978Z,47.0,2019-11-11T21:00:11.172Z,47.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
RXdEh4kTSjtXQj7MT,Bob,2019-11-08T15:35:12Z,,,,2019-11-08T21:48:39Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,SxrRZNBn85mw2gjHj,"89,89,78,74,74,72",2019-11-08T21:47:19.509Z,89.0,2019-11-08T21:47:38.998Z,78.0,2019-11-08T21:47:58.218Z,74.0,2019-11-08T21:48:23.993Z,74.0,2019-11-08T21:48:37.700Z,72.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
TAWCEwJ3jan3HnACc,Bob,2019-11-08T15:35:12Z,,,,2019-11-11T21:14:59Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,mPEKaywAh8Ap7XMoh,"89,89,89,75,63",2019-11-11T21:12:52.378Z,89.0,2019-11-11T21:13:38.777Z,89.0,,89.0,,75.0,2019-11-11T21:14:50.174Z,63.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
fo6PnAYi4cu6RvzGJ,Bob,2019-11-08T15:35:12Z,,,,2019-11-11T21:08:37Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,Y7Yq29qZuuuseDPuP,"13,13,13,13,13",2019-11-11T21:06:44.475Z,13.0,2019-11-11T21:07:08.187Z,13.0,2019-11-11T21:07:36.380Z,13.0,,13.0,2019-11-11T21:08:19.580Z,13.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
4pZhwBCZxP2E6x9GA,Bob,2019-11-08T15:35:12Z,,,,2019-11-09T05:11:21Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,8KNagjurGf9QryGKK,"96,96,96,96,96,96",2019-11-09T05:10:13.097Z,96.0,2019-11-09T05:10:32.097Z,96.0,2019-11-09T05:10:43.714Z,96.0,2019-11-09T05:10:54.699Z,96.0,2019-11-09T05:11:12.102Z,96.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
Cqs8zCi7jcJiXKi7x,Bob,2019-11-08T15:35:12Z,,,,2019-11-15T19:05:47Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,3xGaSo69NzZsJCiCK,"83,83,83,83,83",2019-11-15T19:05:18.467Z,83.0,2019-11-15T19:05:23.384Z,83.0,2019-11-15T19:05:34.895Z,83.0,2019-11-15T19:05:39.821Z,83.0,2019-11-15T19:05:47.747Z,83.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
vpuiMg5pdtJ2R7JJ2,Bob,2019-11-08T15:35:12Z,,,,2019-11-08T22:03:29Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,MicPsRjF4WERrZ8gP,"85,85,85,85,85",2019-11-08T22:02:28.798Z,85.0,2019-11-08T22:02:43.302Z,85.0,2019-11-08T22:02:56.503Z,85.0,2019-11-08T22:03:12.602Z,85.0,2019-11-08T22:03:25.309Z,85.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
R6L6uv6Zt3QZ2Fviu,Bob,2019-11-08T15:35:12Z,,,,2019-11-08T21:42:25Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,96cJENDdLCq9AMMAN,"71,71,71,71,71,71",,71.0,2019-11-08T21:41:23.106Z,71.0,2019-11-08T21:41:38.100Z,71.0,2019-11-08T21:41:55.504Z,71.0,,71.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
xCakGZhryH7Yj4TvS,Bob,2019-11-08T15:35:12Z,,,,2019-11-11T21:07:12Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,jKYFhqW6vNDcrFjt5,"63,63,63,63,63",2019-11-11T21:05:27.787Z,63.0,2019-11-11T21:05:51.476Z,63.0,,63.0,2019-11-11T21:06:38.777Z,63.0,,63.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
jaHtM5Ds4Gfc7jCbi,Bob,2019-11-08T15:35:12Z,,,,2019-11-11T21:15:12Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,eB8SyDDtvA3khxoRR,"57,57,57,57,57",,57.0,,57.0,2019-11-11T21:14:16.386Z,57.0,,57.0,,57.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
BMC36wbodLqf7SgTh,Bob,2019-11-08T15:35:12Z,,,,2019-11-11T21:18:45Z,finished,,,2019-11-08T15:35:12Z,republican,republican.png,qa2b8ni5TSwS9uCgP,"11,11,18,11,20,20",2019-11-11T21:17:15.579Z,11.0,2019-11-11T21:17:48.185Z,18.0,2019-11-11T21:18:11.375Z,11.0,2019-11-11T21:18:29.679Z,20.0,2019-11-11T21:18:41.288Z,20.0,3.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,",,
