_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,retiredAt,retiredReason,createdAt,data.political_affiliation,data.avatar,data.neighbor_ids,data.responses,data.response0TimeAt,data.response0,data.response1TimeAt,data.response1,data.response2TimeAt,data.response2,data.response3TimeAt,data.response3,data.response4TimeAt,data.response4,data.total_reward,data.base_reward,data.bonus,data.made_submission,data.age,data.education,data.gender,data.instruction_first_guess,data.instruction_second_guess,data.article,data.mile,data.stone,data.years,data.last_response0,data.last_response1,data.last_response2,data.last_response3,data.last_response4,data.other_player_party,data.knowledge,data.senate,data.state,data.american,data.neighborhood,data.democrats,data.republicans,data.determined,data.attentive,data.alert,data.inspired,data.active,data.afraid,data.nervous,data.upset,data.ashamed,data.hostile,data.american_feel,data.texan_feel,data.democrats_feel,data.californians_feel,data.chinese_feel,data.republicans_feel,data.clarity,data.fairness,data.lookup,data.familiarity,data.feedback,data.province,data.official,data.city,data.champion,data.hotdog,data.boston,data.last_responses,data.russians_feel,data.iranians_feel
WdXt64GzuJtzoWt9u,M6B6R5Bqiswsk5zFH,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zG4cXXJGmrNbFuRTd,a9uDpqa58Bk7iJB5D,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aKzZR8xewcqNnFzQs,PyXKKY34xBnzBc5kf,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hgNXgL4hBJG5ZzYzb,TEDRcH3aH8iwEEpdc,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQfmTHKztvYQZvmi7,iHx6DCJnmDH7nL3xa,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,republican,republican.png,DmmZon64bcQEnJPxp,"64,64,64,64,64",2019-10-18T17:28:55.678Z,64,2019-10-18T17:29:11.671Z,64,2019-10-18T17:29:23.978Z,64,2019-10-18T17:29:38.481Z,64,2019-10-18T17:29:54.887Z,64,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RdDvPH2L5P3JZFZDs,P4cyPLaxEMXpbrRtK,{},Bob,2019-10-17T23:51:19Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62YurE9cWeT5LARvg,t2cqfQSfoJTt4bCtt,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JGBZT7k77j3M7MZu7,rvGsP3WdwHwN9FBZY,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,republican,republican.png,HFRLXqnaFkMMAewEx,"73,73,73,73,73",2019-10-18T15:21:00.568Z,73,2019-10-18T15:21:11.174Z,73,2019-10-18T15:21:30.471Z,73,2019-10-18T15:21:39.987Z,73,2019-10-18T15:21:47.976Z,73,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vBcRnDyTgp6BKvHZN,mEKhJ5aqzFP3MueGK,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oZAXpzop7nCYsCxdL,nmyqpC72EfMJRn9JQ,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,republican,republican.png,6EWDbfPToj6wdM3BH,"13,21,24,25,28",2019-10-18T21:11:11.203Z,13,2019-10-18T21:11:30.978Z,21,2019-10-18T21:11:46.876Z,24,2019-10-18T21:11:57.178Z,25,2019-10-18T21:12:04.267Z,28,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3CB7fHfRxYfv5Cxj,mCy4nFspH3TeBQesM,{},Bob,2019-10-17T23:51:20Z,,,,2019-10-19T18:31:42Z,gameCancelled,,,2019-10-17T23:51:20Z,republican,republican.png,7MrjaoH5237seAJBM,"58,58,58,58,58",2019-10-18T14:10:10.787Z,58,2019-10-18T14:10:26.789Z,58,2019-10-18T14:10:41.276Z,58,2019-10-18T14:10:53.203Z,58,2019-10-18T14:11:09.195Z,58,3,2,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
